assetIndex	weaponName	weaponDefName	b67E	b67F	b680	b681	b682	b683	booleanTailBytes
5797	gl_m16_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5812	m16_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5826	gl_m4_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5841	m4_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5856	gl_fn2000_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5871	fn2000_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5885	gl_masada_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5900	masada_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5913	gl_famas_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5927	famas_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5939	gl_fal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5953	fal_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5968	gl_scar_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5983	scar_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5997	gl_tavor_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6012	tavor_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6067	beretta_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6068	beretta_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6069	beretta_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6071	beretta_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6085	beretta_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6086	beretta_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6087	beretta_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6088	beretta_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6089	beretta_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6090	beretta_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6091	beretta_fmj_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6092	beretta_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6093	beretta_silencer_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6094	beretta_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6095	beretta_tactical_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6140	usp_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6141	usp_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6142	usp_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6146	usp_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6161	usp_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6162	usp_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6163	usp_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6164	usp_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6165	usp_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6166	usp_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6167	usp_fmj_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6168	usp_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6169	usp_silencer_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6170	usp_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6171	usp_tactical_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6203	deserteagle_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6204	deserteagle_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6205	deserteagle_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6219	deserteagle_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6220	deserteagle_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6221	deserteagle_fmj_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6222	deserteaglegold_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6250	coltanaconda_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6251	coltanaconda_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6252	coltanaconda_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6265	coltanaconda_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6266	coltanaconda_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6267	coltanaconda_fmj_tactical_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6278	riotshield_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6317	glock_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6318	glock_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6322	glock_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6323	glock_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6326	glock_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6327	glock_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6328	glock_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6329	glock_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6330	glock_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6331	glock_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6332	glock_eotech_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6333	glock_eotech_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6334	glock_eotech_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6335	glock_fmj_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6336	glock_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6337	glock_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6338	glock_reflex_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6339	glock_reflex_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6340	glock_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6354	beretta393_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6355	beretta393_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6358	beretta393_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6359	beretta393_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6362	beretta393_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6363	beretta393_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6364	beretta393_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6365	beretta393_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6366	beretta393_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6367	beretta393_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6368	beretta393_eotech_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6369	beretta393_eotech_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6370	beretta393_eotech_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6371	beretta393_fmj_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6372	beretta393_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6373	beretta393_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6374	beretta393_reflex_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6375	beretta393_reflex_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6376	beretta393_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6393	mp5k_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6396	mp5k_acog_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6417	mp5k_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6420	mp5k_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6421	mp5k_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6424	mp5k_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6425	mp5k_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6426	mp5k_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6429	mp5k_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6430	mp5k_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6431	mp5k_acog_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6432	mp5k_acog_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6433	mp5k_acog_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6434	mp5k_acog_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6435	mp5k_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6436	mp5k_akimbo_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6437	mp5k_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6438	mp5k_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6439	mp5k_eotech_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6440	mp5k_eotech_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6441	mp5k_eotech_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6442	mp5k_eotech_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6443	mp5k_fmj_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6444	mp5k_fmj_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6445	mp5k_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6446	mp5k_fmj_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6447	mp5k_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6448	mp5k_reflex_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6449	mp5k_reflex_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6450	mp5k_reflex_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6451	mp5k_rof_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6452	mp5k_rof_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6453	mp5k_rof_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6454	mp5k_silencer_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6455	mp5k_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6456	mp5k_thermal_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6488	pp2000_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6489	pp2000_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6493	pp2000_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6494	pp2000_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6497	pp2000_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6498	pp2000_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6499	pp2000_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6500	pp2000_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6501	pp2000_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6502	pp2000_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6503	pp2000_eotech_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6504	pp2000_eotech_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6505	pp2000_eotech_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6506	pp2000_fmj_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6507	pp2000_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6508	pp2000_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6509	pp2000_reflex_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6510	pp2000_reflex_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6511	pp2000_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6525	uzi_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6529	uzi_acog_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6548	uzi_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6552	uzi_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6553	uzi_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6556	uzi_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6557	uzi_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6558	uzi_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6561	uzi_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6562	uzi_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6563	uzi_acog_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6564	uzi_acog_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6565	uzi_acog_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6566	uzi_acog_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6567	uzi_akimbo_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6568	uzi_akimbo_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6569	uzi_akimbo_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6570	uzi_akimbo_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6571	uzi_eotech_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6572	uzi_eotech_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6573	uzi_eotech_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6574	uzi_eotech_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6575	uzi_fmj_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6576	uzi_fmj_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6577	uzi_fmj_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6578	uzi_fmj_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6579	uzi_fmj_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6580	uzi_reflex_rof_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6581	uzi_reflex_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6582	uzi_reflex_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6583	uzi_rof_silencer_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6584	uzi_rof_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6585	uzi_rof_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6586	uzi_silencer_thermal_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6587	uzi_silencer_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6588	uzi_thermal_xmags_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6603	p90_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6607	p90_acog_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6628	p90_akimbo_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6631	p90_eotech_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6632	p90_fmj_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
6635	p90_reflex_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
